JIP Classification		"Real gross output (million yen, in chain-linked 2011 prices)"																					
No.	Industry Name	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
34	Miscellaneous fabricated metal products	9730324.95	9935311.858	10127442.98	10089024.56	9417857.835	8843865.53	9005873.743	8889057.455	8392655.245	8235773.689	8302726.005	8348779.016	8474266.313	8536343.2	7960248.473	6246951.759	6804014.101	6924768	7073669	6996393.098	7173072.822	6950823.942
35	General-purpose machinery	9961469.312	10699533.04	10986797.37	10949571.14	10173700.89	9974129.44	10352693.7	10403459.02	9411880.525	9673137.656	10440764.34	11048680.72	11278803.51	11821946.98	11736216.81	8757669.856	9440721.316	10029278	10372843	9735625.352	9525264.713	9178075.053
36	Production machinery	12040284.17	13128889.3	14232880.92	14929753.95	13860211.58	12414044.77	13919633.03	12652913.08	11403534.96	12306277.49	14214491.8	15389379.14	17229083.14	17733180.01	17414480.68	10519947.88	12828656.99	14555530	14245653	13679534.65	14652334.41	14709537.92
37	Office and service industry machines	2546327.542	2836637.314	3001838.575	3113947.754	3185200.231	3256614.672	3380473.183	3185813.983	3287646.289	3282223.035	3677435.431	4038601.395	3903782.005	4488904.84	4233037.736	3524938.027	3639756.148	3405018	3255394	3291734.676	3636169.157	3477889.82
38	Miscellaneous business oriented machinery	2900649.381	2930117.74	3006085.265	3263760.533	3336528.107	3182086.599	3225718.446	3329081.29	3090964.394	3218909.743	3647407.061	3583321.894	3870420.978	4041458.117	4176437.109	3463877.383	3519046.619	3689685	3771571	3453538.253	3330704.288	3430097.767
39	Ordnance	402656.2789	429733.2112	434340.8021	421377.8812	426768.5306	269467.4547	399950.5159	231187.4299	438519.2514	94677.11982	319053.2081	360180.6246	325771.5837	258939.2819	474438.5309	491375.5749	418091.2303	528892	767718	730441.6984	761002.7691	679031.5684
40	Semiconductor devices and integrated circuits	1172468.714	1440476.901	1680996.136	1991139.892	1939421.582	2157536.58	2861947.957	2320962.714	2309085.104	2910068.482	3194586.636	3285600.228	3437322.353	3888193.096	4571079.703	3943123.676	4607973.954	4551574	4500509	3965553.726	4680146.019	4823790.025
41	Miscellaneous electronic components and devices	4051936.783	4603411.835	5035344.554	5671956.965	5538152.812	6236189.042	7150464.879	5997924.634	6407177.462	7244380.332	8353250.511	9028418.624	9966362.372	10777689.55	10924645.32	8092976.355	9272808.663	9818688	8045142	8020319.693	8572881.989	9368400.48
42	Electrical devices and parts	7820285.009	8038770.059	8097663.105	8343114.727	7700508.215	7018319.158	7468850.083	7360571.344	6910915.143	7054206.504	7439933.385	7481731.896	7722429.591	7873289.749	7783279.611	6760803.56	7223547.533	7831540	7668694	7771265.104	8332172.058	8377345.857
43	Household electric appliances	2108594.728	2311630.836	2430124.319	2400960.648	2306930.934	2213539.287	2319277.92	2396095.017	2135192.578	2208016.802	2248363.829	2307689.082	2566547.137	2646432.826	2735973.427	2665545.168	3315419.562	2726812	3329641	3639616.686	4206387.845	4317124.331
44	Electronic equipment and electric measuring instruments	1672249.143	1854159.538	1954493.5	2035187.445	1936044.525	1858042.062	2229495.102	2159069.554	1772124.664	1791438.293	2009492.961	2269444.172	2464157.962	2668941.02	2420203.37	1766493.745	2314669.909	2576050	2389217	2266883.857	2509519.126	2379401.197
45	Miscellaneous electrical machinery equipment	2581083.241	2710177.612	2806293.541	2971798.179	2747669.897	2757453.459	3052678.925	2846309.453	2509522.621	2762689.947	2807768.79	3079938.734	3576108.263	3955100.445	3328611.194	2768556.653	3196692.363	3009884	3480311	3593643.888	3926197.754	3776624.056
46	Image and audio equipment	1397068.11	1390693.308	1497442.604	1797092.49	1737511.579	1840973.89	2022886.18	1800120.255	1939920.564	2689189.712	2620943.743	2528541.488	2762049.876	2786272.631	3095775.172	2753868.318	3506080.804	2590356	1932334	1260975.954	2122645.505	2106721.85
47	Communication equipment	2022108.18	2287051.217	2885185.428	2989177.288	3021586.021	3241334.734	3868187	3546648.898	3336223.962	3435445.74	3672126.318	3745705.995	4317418.127	4879826.099	4450221.585	3714861.242	4147170.131	4287069	4119839	4423282.444	3904684.489	3922954.486
48	"Electronic data processing machines, digital and analog computer equipment and accessories"	1669211.851	1996788.457	2468769.692	2753923.611	2653793.972	2559374.511	2686948.818	2764236.001	2338860.232	2442738.794	2757746.024	2741298.239	2868911.196	3536200.457	3455848.215	3038751.561	3291258.133	3256907	2748981	2644910.018	2309747.562	2146570.548
49	Motor vehicles (including motor vehicles bodies)	18286515.29	18659912.57	18701045.95	19122786.93	17626573.62	17435598.29	18972033.43	19348739.91	20665543.8	20652177.69	21504233.49	23234618.23	24944472.83	23345844.06	25109693.18	16248771.71	20292837.93	18533749	21234142	20608082.38	21685612.07	21360766.64
50	Motor vehicle parts and accessories	16137676.11	16084058.91	16066861.65	16885974.01	15534795.4	15489610.65	16517954.64	16823088.95	18091915.66	19867238.93	21812846.12	23598620.6	24337867.69	29112652.08	27852447.03	19918424.95	25379145.1	23382779	25391611	26360342.39	26247337.91	25668255.16
51	Other transportation equipment	4591267.57	4080803.482	4175974.205	4565170.924	4672073.133	4761175.068	4726192.51	4757507.242	5084449.746	5321173.796	5474547.284	5409039.613	5950015.287	6574945.106	6745362.134	5825259.722	6110025.639	6106566	5658162	5467724.228	5853594.2	6068276.008
52	Printing	6379428.558	6601482.108	6743752.734	6801788.463	6679832.952	6338220.411	6349399.451	6272241.278	6068340.983	5960817.6	5923848.441	5908401.4	5920141.829	6010752.259	5835829.215	5458109.575	5625243.014	5214662	5108598	5131836.213	5017304.696	5072723.975
53	Lumber and wood products	4626747.654	4632328.106	4563993.405	4358676.521	3807050.541	3517977.077	3375050.397	3119563.769	2883143.009	2845165.886	2803808.721	2744812.837	2617260.161	2511549.754	2374830.096	1957693.32	1991034.161	1960925	2057802	2049124.416	1957940.209	1915770.28
54	Furniture and fixtures	4023220.262	3999454.306	4110591.723	3976035.719	3480706.822	3170838.624	3076888.855	2910379.058	2606332.212	2618128.035	2547686.946	2521573.412	2427200.747	2389192.354	2059774.052	1593106.026	1591845.937	1708382	1708863	1808554.307	1843936.697	1766927.687
55	Plastic products	10329589.58	10369662.28	10621753.77	10718595.98	10275079.11	10344020.67	10467463.42	10121261.39	10158954.19	10763402.75	11345018.69	11204332.91	11100360.54	11436408.15	10708608.46	9130780.291	10233910.74	10328884	10251580	10320813.65	10267542.21	10235706.59
56	Rubber products	3396252.864	3502841.067	3518422.39	3521183.613	3290978.417	3277618.428	3307693.636	3108990.525	3137369.881	3213496.316	3388847.439	3448677.796	3548446.575	3581303.056	3482570.086	2672820.593	3012784.073	3073535	3006369	2918532.314	2987449.562	3091583.447
57	Leather and leather products	1015725.422	953085.7954	933601.8244	848744.5094	792237.9324	719328.5839	669521.5174	616048.0911	545733.8162	516778.9592	505840.6114	485047.5129	471824.5772	486227.1333	446472.4085	353940.5931	326189.1926	334926	322677	319407.1926	310167.4794	279059.0113
58	Watches and clocks	455201.8387	428371.2266	419187.218	460039.4242	465311.0093	400490.8815	372034.8318	290327.2666	299645.8548	331819.0779	310193.0266	330410.0201	352943.6389	361975.412	319954.5831	201091.5845	284201.757	215280	277763	205718.939	179687.2042	170243.755
59	Miscellaneous manufacturing industries	4886047.072	4800946.476	4756447.068	4883659.227	4821038.319	4648850.217	4726792.237	4649510.829	4377248.68	4359264.033	3826629.945	4054684.165	4022871.639	3892177.656	3787678.168	3019177.023	3089344.209	3190768	3117245	3120397.699	3158236.501	3168014.586
60	Electricity	13618076.41	14117982.69	14636844.1	14897098.04	15358887.55	15653756.09	15697468.78	15904978.06	15899292.94	15910113.85	16154189.72	16651858.31	16510695.54	16906469.4	16957501.35	16023372.33	17060996.5	16502162	15945843	15679091.19	15379450.29	14975668.16
61	"Gas, heat supply"	2591197.698	2696892.142	2861852.349	2914568.529	2960709.294	3114322.738	3253579.001	3252607.101	3373278.864	3422560.987	3478685.822	3639758.483	3663984.098	3798690.002	3826187.95	3575631.213	3741173.287	3661342	3775669	3659204.04	3744015.678	3770426.427
62	Waterworks	3260056.881	3315277.306	3307564.998	3172253.305	3129466.225	3138171.067	3156408.147	3151790.222	3113155.658	3085533.884	3093498.02	3094854.116	3058357.811	3049901.307	3006494.041	2964015.206	2952678.105	2906024	2888768	2875871.362	2832075.349	2858365.688
63	Water supply for industrial use	142858.1012	145318.2239	146709.0798	144689.7177	144360.5782	142702.8568	142637.376	143840.2168	138425.6984	135878.004	135829.0991	134190.0626	133387.343	134112.9711	135504.505	134266.4117	132172.7519	130376	126543	124124.3848	124022.4932	122156.7187
64	Sewage disposal	1755284.985	1869227.377	2004090.539	2103643.679	2240487.537	2345743.141	2387687.452	2530324.072	2593407.376	2628636.11	2635666.273	2641394.927	2617360.599	2600141.665	2554598.776	2564790.222	2622230.837	2592138	2595865	2601920.755	2577521.292	2657060.207
65	Waste disposal	4234684.713	4285406.518	4489135.53	4583003.753	4763787.706	5013617.338	4827169.344	5153548.826	5281702.57	5324850.163	5273465.645	5300680.745	5234640.488	5256647.205	5163257.608	5103422.815	4922577.118	5054235	4888645	4775310.744	4845816.864	4884403.103
66	Construction	53195722.46	51033159.86	55357237.47	51560351.08	47133735.6	46433290.35	46290552.07	44321931.49	42600539.72	41958410.01	41519978.39	41459075.04	42067538.61	39258744.84	37035108.05	33540824.39	32124117.08	33548324	34687273	37035382.23	36886478.2	37466517.02
67	Civil engineering	37318883.12	39124669.02	38890067.34	36391770.26	37272319.61	36088865.52	34082606.36	32827977.01	30803472.8	28268433.64	26178006.25	24649568.13	22498831.85	20737553.86	19106436.64	19565043.78	18958042.55	19007475	19975604	22938106.3	23545425.67	23229331.87
